,week,match,w/l,pts,fg%,fg2m,fg2a,fg2%,fg3m,fg3a,fg3%,ftm,fta,ft%,dr,or,tr,ass,st,to,blk,blk_ag,fp,fd,val,team_name,match_link,team_id,season
0,1,Široki-Borac BL,L,68.0,37.3,21.0,48.0,43.8,4.0,19.0,21.1,14.0,23.0,60.9,21.0,11.0,32.0,11.0,3.0,13.0,1.0,2.0,24.0,23.0,48.0,HKK Široki TT Kabeli,/match/6/22/2/Boxscore/q1/1/home/siroki-tt-kabeli-borac-wwin/,6,2022/2023
1,2,Helios-Široki,L,75.0,50.0,23.0,39.0,59.0,7.0,21.0,33.3,8.0,15.0,53.3,15.0,7.0,22.0,17.0,16.0,22.0,1.0,3.0,21.0,21.0,69.0,HKK Široki TT Kabeli,/match/10/22/2/Boxscore/q1/1/home/kansai-helios-domzale-siroki-tt-kabeli/,6,2022/2023
2,3,Široki-Pelister,W,83.0,60.0,24.0,30.0,80.0,9.0,25.0,36.0,8.0,14.0,57.1,26.0,7.0,33.0,16.0,10.0,21.0,1.0,0.0,21.0,22.0,95.0,HKK Široki TT Kabeli,/match/19/22/2/Boxscore/q1/1/home/siroki-tt-kabeli-pelister-bitola/,6,2022/2023
3,4,Sutjeska-Široki,W,67.0,43.4,18.0,34.0,52.9,5.0,19.0,26.3,16.0,18.0,88.9,18.0,11.0,29.0,13.0,4.0,14.0,4.0,1.0,20.0,21.0,71.0,HKK Široki TT Kabeli,/match/25/22/2/Boxscore/q1/1/home/sutjeska-elektroprivreda-siroki-tt-kabeli/,6,2022/2023
4,5,Široki-Zlatibor,W,85.0,46.8,23.0,41.0,56.1,6.0,21.0,28.6,21.0,23.0,91.3,17.0,13.0,30.0,11.0,6.0,10.0,0.0,1.0,22.0,18.0,82.0,HKK Široki TT Kabeli,/match/32/22/2/Boxscore/q1/1/home/siroki-tt-kabeli-zlatibor-mozzart/,6,2022/2023
5,6,Krka-Široki,W,79.0,47.4,20.0,32.0,62.5,7.0,25.0,28.0,18.0,19.0,94.7,22.0,5.0,27.0,10.0,8.0,12.0,1.0,1.0,23.0,23.0,81.0,HKK Široki TT Kabeli,/match/40/22/2/Boxscore/q1/1/home/krka-siroki-tt-kabeli/,6,2022/2023
6,7,Široki-Sloga,L,83.0,44.3,18.0,39.0,46.2,9.0,22.0,40.9,20.0,26.0,76.9,25.0,17.0,42.0,14.0,7.0,19.0,3.0,4.0,23.0,24.0,87.0,HKK Široki TT Kabeli,/match/45/22/2/Boxscore/q1/1/home/siroki-tt-kabeli-sloga/,6,2022/2023
7,8,Podgorica-Široki,L,62.0,33.3,13.0,34.0,38.2,6.0,23.0,26.1,18.0,27.0,66.7,21.0,12.0,33.0,12.0,7.0,13.0,1.0,1.0,23.0,28.0,59.0,HKK Široki TT Kabeli,/match/55/22/2/Boxscore/q1/1/home/podgorica-bemax-siroki-tt-kabeli/,6,2022/2023
8,9,Široki-TFT,W,81.0,44.1,25.0,48.0,52.1,5.0,20.0,25.0,16.0,21.0,76.2,23.0,18.0,41.0,14.0,13.0,16.0,2.0,5.0,22.0,22.0,87.0,HKK Široki TT Kabeli,/match/58/22/2/Boxscore/q1/1/home/siroki-tt-kabeli-tft-mozzart-skopje/,6,2022/2023
9,10,GGD Šenčur-Široki,W,73.0,40.3,21.0,50.0,42.0,4.0,12.0,33.3,19.0,28.0,67.9,28.0,18.0,46.0,15.0,7.0,6.0,3.0,6.0,19.0,25.0,92.0,HKK Široki TT Kabeli,/match/70/22/2/Boxscore/q1/1/home/ggd-sencur-siroki-tt-kabeli/,6,2022/2023
